posicion,regla_id_dominante,regla_dominante,soporte_busqueda,confianzas_familia,metodo_similitud,Z,numero_condiciones_Z,fitness,soporte_anomalo,confianza_anomala,confianza_inversa,cf_directo,cf_inverso,miembros_familia_jaccard,jaccard_maximo_familia,nivel_confianza
9,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.678, r=0.182) Y actividad_fisica=1",2,0.0631289488427639,0.009354316815901882,0.8549805542003721,0.3182966874655639,0.7973098593131225,0.23753230229894226,1,0.0,alta
66,RD_1181,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.680, r=0.176)",1,0.03534940272492737,0.005714324834957832,0.8525552266605186,0.16096689675937556,0.7565132183384711,0.09345349656299519,1,0.0,alta
73,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"altura_cm(c=0.708, r=0.196) Y presion_sistolica(c=0.665, r=0.154) Y glucosa=1",3,0.030935265811233178,0.006411999578473789,0.8499518824527358,0.2181792926223471,0.7902814075191138,0.15657848213003783,1,0.0,alta
52,RD_0247,presion_sistolica cercana a 102.00 con radio ±14.32 Y colesterol = normal Y fumador = no Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"peso_kg(c=0.549, r=0.117) Y presion_diastolica(c=0.436, r=0.097)",2,0.04076431470975565,0.0010516851526793606,0.8456594818473829,0.1730300754678452,0.820916066878435,0.1489713127363807,20,0.9990429448222148,alta
103,RD_0820,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.174, r=0.162) Y glucosa=1",2,0.018255415710590184,0.004742229148247887,0.8411359788401076,0.12317478307137368,0.7484652998301704,0.07317139103736302,1,0.0,alta
113,RD_0052,presion_sistolica cercana a 102.00 con radio ±12.57 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"peso_kg(c=0.554, r=0.105) Y presion_diastolica(c=0.444, r=0.107) Y alcohol=0",3,0.0159498846042192,0.0017962490307718013,0.8317236894658898,0.10758924921006506,0.7840801276251113,0.08136864609758479,9,0.9897314518179297,alta
156,RD_0732,presion_diastolica cercana a 73.27 con radio ±19.49 => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.509, r=0.095) Y colesterol=3",2,0.0078739678072762,0.010399558858646464,0.8293166000848883,0.06003369718039539,0.7205547393783057,0.03278294087998029,1,0.0,alta
62,RD_1181,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.670, r=0.185)",1,0.03809758010168429,0.006560637554258969,0.8288979545117849,0.18480669166926675,0.7174461634139567,0.10620331404491044,2,0.8900046318431696,alta
70,RD_0311,presion_sistolica cercana a 102.00 con radio ±14.32 Y colesterol = normal Y fumador = no Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"peso_kg(c=0.565, r=0.118) Y presion_diastolica(c=0.423, r=0.079)",2,0.032357778979756883,0.0014440669622427626,0.8253291173502839,0.14682134033005614,0.7929666911577025,0.12241792501718719,29,0.9996119930364638,alta
24,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.667, r=0.207) Y alcohol=0 Y actividad_fisica=1",3,0.04806433067818794,0.010131203705845842,0.8219690644869272,0.34473159751524507,0.7511705056739795,0.2559436522873738,1,0.0,alta
2,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.676, r=0.189)",1,0.1243209044958437,0.012683872740894568,0.8209796024488025,0.43159054339472464,0.7497875587277546,0.33161634398626827,3,0.919796019304816,alta
7,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.668, r=0.177) Y fumador=0",2,0.06457289381733153,0.010275719593904505,0.8183353411738274,0.3496489986852611,0.7460917392679416,0.25964458692716474,1,0.0,alta
42,RD_1180,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.643, r=0.145)",1,0.04284113432922116,0.0075794627625976494,0.8162100218818313,0.21350599331260983,0.6964936141167857,0.12301946051162992,9,0.9674454329366846,alta
27,RD_1037,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.629, r=0.099)",1,0.047363774147762834,0.0040423013428384355,0.8156555843950996,0.21427662066982445,0.7130922092829848,0.132840531788693,3,0.9410311901735308,alta
89,RD_0311,presion_sistolica cercana a 102.00 con radio ±14.32 Y colesterol = normal Y fumador = no Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"peso_kg(c=0.593, r=0.119) Y presion_diastolica(c=0.414, r=0.074)",2,0.025557607407877908,0.001169295316335578,0.8143286241277385,0.118884726314503,0.7799280640195545,0.09830755650525146,1,0.0,alta
94,RD_1180,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.652, r=0.139) Y glucosa=1",2,0.022711115020656647,0.006194583601543465,0.8142737964598291,0.17449531271953425,0.6932961776400847,0.09827451421106846,1,0.0,alta
8,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.615, r=0.119) Y glucosa=1",2,0.06378625366778407,0.010271949160548384,0.8133365363972859,0.34952070321791895,0.7391050318106301,0.25890604551097307,1,0.0,alta
133,RD_0820,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.167, r=0.135) Y fumador=0 Y alcohol=0",3,0.012069700758018578,0.004571719903191925,0.8128098692997693,0.11874597151147856,0.7036156263913015,0.06861530816148338,1,0.0,alta
78,RD_0561,glucosa = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,sexo=2 Y colesterol=1,2,0.03029586260733801,0.0065,0.8125,0.21311475409836064,0.7035714285714285,0.12918032786885245,1,0.0,alta
79,RD_0560,glucosa = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,triangular,sexo=2 Y colesterol=1,2,0.03029586260733801,0.0065,0.8125,0.21311475409836064,0.7035714285714285,0.12918032786885245,2,0.875,alta
5,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.691, r=0.217) Y alcohol=0",2,0.07660634716716491,0.01210598902568141,0.8106463910576353,0.41192705797802853,0.7353450813132649,0.3125322346496928,1,0.0,alta
90,RD_1181,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.658, r=0.184) Y fumador=0",2,0.025415547116396486,0.006943677219820964,0.8105140552283209,0.19559654140340743,0.687087430652273,0.11097079927194448,1,0.0,alta
57,RD_1037,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.650, r=0.099)",1,0.039895768518330835,0.0035188683598656924,0.809246139328432,0.18653018584817688,0.7031167526478299,0.11348262822095899,2,0.9724649119706301,alta
54,RD_1180,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.668, r=0.174)",1,0.04059566299089825,0.007392269675881343,0.8086007308248314,0.20823294861637584,0.6839278123712812,0.11871329768019506,2,0.9264923016396245,alta
145,RD_0052,presion_sistolica cercana a 102.00 con radio ±12.57 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"peso_kg(c=0.551, r=0.094) Y presion_diastolica(c=0.436, r=0.107) Y sexo=1",3,0.009801248437083236,0.0011852936592439964,0.802617660113475,0.07099508626413464,0.7467333963878628,0.05250199594390361,1,0.0,alta
