regla_id_dominante,soporte_busqueda,confianzas_superadas,mejor_confianza_minima,particula,metodo_similitud,consecuente_dominante,consecuente_anomalo,Z,numero_condiciones_Z,fitness,soporte_anomalo,confianza_anomala,confianza_inversa,cf_directo,cf_inverso
RD_0138,0.001,0.60,0.6,21,triangular,0,1,"presion_sistolica(c=0.690, r=0.187)",1,0.12056415515677592,0.01147699113981668,0.8595250329888304,0.3905243251613205,0.8036615664231734,0.3000371305383342
RD_0138,0.001,0.60,0.6,29,triangular,0,1,"presion_sistolica(c=0.634, r=0.183)",1,0.12014914566534121,0.014572430167480587,0.7403661198734295,0.49585195176919217,0.6371160612305311,0.3771656468156969
RD_0138,0.001,0.60,0.6,32,triangular,0,1,"presion_sistolica(c=0.698, r=0.187)",1,0.11469814853987048,0.010956837686546525,0.8610189192541126,0.37282521100814,0.8057495348029354,0.2846992609630797
RD_0138,0.001,0.60,0.6,30,triangular,0,1,"presion_sistolica(c=0.619, r=0.175)",1,0.1116667147753959,0.01444748038198674,0.7180262906099536,0.491600320826501,0.6058922269966648,0.36860256593458685
RD_0138,0.001,0.60,0.6,5,triangular,0,1,"presion_sistolica(c=0.613, r=0.166)",1,0.10824211052978439,0.014193750335516704,0.7148611215373665,0.48296672043736244,0.6014683474191158,0.35992620723683405
RD_0138,0.001,0.60,0.6,26,triangular,0,1,"presion_sistolica(c=0.691, r=0.217) Y alcohol=0",2,0.07660634716716491,0.01210598902568141,0.8106463910576353,0.41192705797802853,0.7353450813132649,0.3125322346496928
RD_0138,0.001,0.60,0.6,34,triangular,0,1,"presion_sistolica(c=0.668, r=0.243) Y glucosa=1",2,0.06916696087160962,0.014076528459952253,0.7040164084204605,0.47897804489590146,0.5863109565240243,0.35390926999728756
RD_0138,0.001,0.60,0.6,33,triangular,0,1,"presion_sistolica(c=0.668, r=0.177) Y fumador=0",2,0.06457289381733153,0.010275719593904505,0.8183353411738274,0.3496489986852611,0.7460917392679416,0.25964458692716474
RD_0138,0.001,0.60,0.6,35,triangular,0,1,"presion_sistolica(c=0.615, r=0.119) Y glucosa=1",2,0.06378625366778407,0.010271949160548384,0.8133365363972859,0.34952070321791895,0.7391050318106301,0.25890604551097307
RD_0138,0.001,0.60,0.6,7,triangular,0,1,"presion_sistolica(c=0.678, r=0.182) Y actividad_fisica=1",2,0.0631289488427639,0.009354316815901882,0.8549805542003721,0.3182966874655639,0.7973098593131225,0.23753230229894226
RD_0138,0.001,0.60,0.6,16,triangular,0,1,"presion_sistolica(c=0.602, r=0.169) Y glucosa=1",2,0.06159394819710966,0.013018430509412473,0.6975127054586263,0.44297444577700174,0.5772208895950607,0.3201232802245939
RD_1037,0.001,0.60,0.6,15,gaussiana,0,1,"presion_sistolica(c=0.613, r=0.182)",1,0.06076721721555535,0.006837739863316149,0.7115813869414834,0.3624588239880988,0.5511144354291743,0.22052486129576174
RD_1037,0.001,0.60,0.6,25,gaussiana,0,1,"presion_sistolica(c=0.622, r=0.190)",1,0.060393227834623774,0.006771492092080124,0.7130382460222134,0.35894712425484854,0.5533818446092501,0.2182696393925543
RD_1037,0.001,0.60,0.6,29,gaussiana,0,1,"presion_sistolica(c=0.615, r=0.179)",1,0.059918594089002575,0.006716345607876595,0.7135677655132329,0.3560238878915108,0.5542059719190547,0.21623222096117745
RD_1037,0.001,0.60,0.6,12,gaussiana,0,1,"presion_sistolica(c=0.614, r=0.178)",1,0.059867322302875586,0.006713556120576843,0.71347816486569,0.3558760211539032,0.5540665203183704,0.21610156942338046
RD_1037,0.001,0.60,0.6,21,gaussiana,0,1,"presion_sistolica(c=0.615, r=0.178)",1,0.05965661737430886,0.006687751773734057,0.7137744498792266,0.3545081695834457,0.5545276488986823,0.21516192201701637
RD_1037,0.001,0.60,0.6,13,gaussiana,0,1,"presion_sistolica(c=0.612, r=0.165)",1,0.0579477816565572,0.006428713872330234,0.718594978199946,0.34077694040713713,0.562030165999882,0.20620879505093814
RD_1037,0.001,0.60,0.6,27,gaussiana,0,1,"presion_sistolica(c=0.621, r=0.200)",1,0.05687948966315939,0.007263261754914525,0.6776690622730713,0.3850151316998605,0.4983343709137097,0.22827841298150592
RD_1037,0.001,0.60,0.6,32,gaussiana,0,1,"presion_sistolica(c=0.598, r=0.173)",1,0.056650835576718864,0.0072014342515397565,0.6791937668039252,0.38173774405258165,0.5007073725965004,0.22628320922436845
RD_1037,0.001,0.60,0.6,22,gaussiana,0,1,"presion_sistolica(c=0.603, r=0.152)",1,0.05644018614131384,0.006280709464012798,0.7190136207971496,0.332931438113083,0.5626817280353773,0.20061140545073927
RD_0735,0.001,0.60,0.6,32,triangular,1,0,"presion_sistolica(c=0.399, r=0.134)",1,0.056414869997844924,0.01957807838031686,0.6013137846020056,0.49564755393207244,0.387053845714648,0.2915091562709147
RD_1037,0.001,0.60,0.6,11,gaussiana,0,1,"presion_sistolica(c=0.600, r=0.184)",1,0.056235163016366226,0.00753283691519934,0.6648767754650888,0.39930492591935723,0.47842486221363106,0.23508461812026624
RD_1037,0.001,0.60,0.6,30,gaussiana,0,1,"presion_sistolica(c=0.638, r=0.199)",1,0.055847575307895976,0.0063503032850921485,0.7129177455719153,0.33662050716945185,0.5531943015374299,0.2019094381582933
RD_1037,0.001,0.60,0.6,6,gaussiana,0,1,"presion_sistolica(c=0.641, r=0.208)",1,0.05583644667443891,0.0063937640225436776,0.7107889311111417,0.33892429878791464,0.5498810823559167,0.20308553418572833
RD_0138,0.001,0.60,0.6,22,triangular,0,1,"presion_sistolica(c=0.681, r=0.271) Y alcohol=0",2,0.05548646869736485,0.015172319026090507,0.612135186599863,0.5162641999644256,0.4578908148346751,0.36353515008200366
RD_1037,0.001,0.60,0.6,33,gaussiana,0,1,"presion_sistolica(c=0.594, r=0.177)",1,0.05506756410370735,0.007507582318741752,0.661264170860537,0.39796621583162484,0.47280231920127563,0.2329411759093536
RD_1037,0.001,0.60,0.6,10,gaussiana,0,1,"presion_sistolica(c=0.609, r=0.147)",1,0.05482635613161191,0.0059983947219500525,0.7257503979994544,0.31796633685915204,0.573166634005128,0.19131035506550922
RD_1037,0.001,0.60,0.6,4,gaussiana,0,1,"presion_sistolica(c=0.623, r=0.145)",1,0.05424522786619739,0.00553767830311272,0.7483681174371376,0.29354441752588256,0.6083681338370028,0.178330273560091
RD_1037,0.001,0.60,0.6,23,gaussiana,0,1,"presion_sistolica(c=0.619, r=0.143)",1,0.05424298547995906,0.005574456548242802,0.7462001659879494,0.29549397977081576,0.6049940030903386,0.1793174319179472
RD_1105,0.001,0.60,0.6,13,triangular,0,1,"presion_sistolica(c=0.630, r=0.110)",1,0.054105490935416015,0.006494547785692031,0.7760419402373245,0.2798746501817903,0.643262240833878,0.16822218840414954
RD_1105,0.001,0.60,0.6,31,triangular,0,1,"presion_sistolica(c=0.631, r=0.109)",1,0.05406030492346062,0.006445775720331527,0.7783190643283371,0.2777728772513506,0.6468894206122339,0.167139245753305
RD_1105,0.001,0.60,0.6,29,triangular,0,1,"presion_sistolica(c=0.632, r=0.108)",1,0.05402925387413441,0.006425570047798567,0.7792044382429577,0.2769021383302654,0.6482997128190006,0.16667986366737414
RD_1105,0.001,0.60,0.6,4,triangular,0,1,"presion_sistolica(c=0.629, r=0.113)",1,0.054015921587453046,0.006569736541069843,0.7717458181198085,0.28311481828946505,0.6364190444830489,0.16974954491290925
RD_1105,0.001,0.60,0.6,33,triangular,0,1,"presion_sistolica(c=0.631, r=0.108)",1,0.053925932710978876,0.006420495558970381,0.7789123717469909,0.2766834593964112,0.6478344866627769,0.16648058669667404
RD_1105,0.001,0.60,0.6,10,triangular,0,1,"presion_sistolica(c=0.627, r=0.114)",1,0.05385252242612425,0.006582561603625019,0.7702401145798503,0.28366749878618835,0.6340206431601298,0.1698762430122425
RD_1105,0.001,0.60,0.6,22,triangular,0,1,"presion_sistolica(c=0.632, r=0.107)",1,0.05381333806902063,0.006372033125918866,0.7808469044111824,0.2745950296943259,0.6509159602582736,0.16534650048423552
RD_1105,0.001,0.60,0.6,27,triangular,0,1,"presion_sistolica(c=0.628, r=0.120)",1,0.053702682455771554,0.006687268871705088,0.7642927756797255,0.2881797313530133,0.6245472607130758,0.1719731582665389
RD_1105,0.001,0.60,0.6,8,triangular,0,1,"presion_sistolica(c=0.628, r=0.121)",1,0.053686297676779,0.006701971911862825,0.7634943688504479,0.2888133410140002,0.6232754964216666,0.17227148503350898
RD_1105,0.001,0.60,0.6,15,triangular,0,1,"presion_sistolica(c=0.633, r=0.106)",1,0.05356372788616735,0.006319026309199594,0.7822980230106884,0.27231076529654297,0.6532274144565311,0.16399718291287893
RD_1105,0.001,0.60,0.6,20,triangular,0,1,"presion_sistolica(c=0.630, r=0.122)",1,0.05335489430122297,0.006693591847602747,0.7621767220422354,0.2884522123210283,0.6211766464395218,0.17178654286842268
RD_1105,0.001,0.60,0.6,23,triangular,0,1,"presion_sistolica(c=0.634, r=0.106)",1,0.0532614343122226,0.006288576112375362,0.7822651314620954,0.27099855104154535,0.6531750222481284,0.16308472460843618
RD_1105,0.001,0.60,0.6,12,triangular,0,1,"presion_sistolica(c=0.627, r=0.112)",1,0.05326075058123932,0.006489514918960366,0.7717845529507311,0.279657764901642,0.6364807443245266,0.16736013164942792
RD_1037,0.001,0.60,0.6,17,gaussiana,0,1,"presion_sistolica(c=0.612, r=0.134)",1,0.05305612332053666,0.005476961034749659,0.7457548752302787,0.29032588185085445,0.6043009667046647,0.17559503043610508
RD_1105,0.001,0.60,0.6,7,triangular,0,1,"presion_sistolica(c=0.639, r=0.182)",1,0.05292434479213271,0.009011584486487156,0.6728820812391743,0.38834329024349384,0.4789412203093625,0.22100559545886359
RD_1139,0.001,0.60,0.6,6,triangular,0,1,"presion_sistolica(c=0.653, r=0.225)",1,0.052847097693097,0.0036797043063292838,0.6942185888061565,0.3715777354787324,0.5044148010046399,0.20953825140674603
RD_1105,0.001,0.60,0.6,30,triangular,0,1,"presion_sistolica(c=0.627, r=0.107)",1,0.052622690968042,0.006330228348740928,0.7765476845117962,0.2727935035873999,0.6440678295203369,0.1634072951826587
RD_1105,0.001,0.60,0.6,32,triangular,0,1,"presion_sistolica(c=0.636, r=0.111)",1,0.05262151229187472,0.006339882402526167,0.7760355142927852,0.27320953331189163,0.6432520050912665,0.16361087684261047
RD_1105,0.001,0.60,0.6,11,triangular,0,1,"presion_sistolica(c=0.636, r=0.101)",1,0.052381267737486685,0.006065406376611877,0.7895707303299975,0.26138132228459154,0.6648119464662774,0.1575822095734368
RD_1139,0.001,0.60,0.6,10,triangular,0,1,"presion_sistolica(c=0.664, r=0.226)",1,0.05232580268904491,0.003514485206938585,0.7046756523612908,0.35489385718344807,0.5213627439899416,0.20072704961079613
RD_1105,0.001,0.60,0.6,14,triangular,0,1,"presion_sistolica(c=0.635, r=0.100)",1,0.05220623092719969,0.006035412093220145,0.7902597474700049,0.2600887550653298,0.6659094663805585,0.15679678263460672
RD_1139,0.001,0.60,0.6,31,triangular,0,1,"presion_sistolica(c=0.644, r=0.215)",1,0.0521575326573225,0.0037174067994025788,0.688642981368853,0.3753849454694865,0.49537831801325105,0.2105765664775313
RD_1139,0.001,0.60,0.6,20,triangular,0,1,"presion_sistolica(c=0.646, r=0.215)",1,0.05212169000867881,0.003667414935333036,0.6921435634643913,0.370336750805755,0.5010517716991495,0.20804911968248524
RD_1037,0.001,0.60,0.6,1,gaussiana,0,1,"presion_sistolica(c=0.631, r=0.130)",1,0.052118193862936694,0.00477214847228941,0.7868872630811637,0.2529647745803177,0.6683181081325122,0.155968223002579
RD_1139,0.001,0.60,0.6,25,triangular,0,1,"presion_sistolica(c=0.645, r=0.214)",1,0.05208903771864204,0.003676549186854698,0.6913371414137719,0.37125913048987097,0.49974478959428525,0.20846255450078913
RD_1105,0.001,0.60,0.6,5,triangular,0,1,"presion_sistolica(c=0.638, r=0.107)",1,0.05200283613019013,0.006189393825294706,0.7806035574333328,0.2667244108216392,0.6505283383273195,0.15987877258015595
RD_1139,0.001,0.60,0.6,21,triangular,0,1,"presion_sistolica(c=0.642, r=0.212)",1,0.05196553932452778,0.003690754328914701,0.6897911169197575,0.3726935703468265,0.49723912107268853,0.20901629466492133
RD_1037,0.001,0.60,0.6,2,gaussiana,0,1,"presion_sistolica(c=0.614, r=0.125)",1,0.05190573326181972,0.005091692665664996,0.7634748103319591,0.2699033558744837,0.6318797106280409,0.1642899190740887
RD_1139,0.001,0.60,0.6,23,triangular,0,1,"presion_sistolica(c=0.643, r=0.211)",1,0.051833175902904316,0.003666793971181595,0.6909986764878031,0.3702740456441448,0.49919623366005006,0.20766653435210983
RD_1139,0.001,0.60,0.6,7,triangular,0,1,"presion_sistolica(c=0.661, r=0.221)",1,0.05165753773513808,0.003471832421485699,0.7051808465322984,0.35058676506107755,0.522181520882862,0.19785279895695934
RD_1105,0.001,0.60,0.6,34,triangular,0,1,"presion_sistolica(c=0.626, r=0.103)",1,0.051597454235674904,0.0061782992966419505,0.7789251247479618,0.26624630558196993,0.6478548006313558,0.15928709391484477
RD_1037,0.001,0.60,0.6,16,gaussiana,0,1,"presion_sistolica(c=0.634, r=0.147)",1,0.05141753718134595,0.005162288804010588,0.7561843993561854,0.27364555633755233,0.620533146645537,0.16572051778151617
RD_1139,0.001,0.60,0.6,15,triangular,0,1,"presion_sistolica(c=0.643, r=0.208)",1,0.051382218234656205,0.003619435440220161,0.6926262023563241,0.36549176581258863,0.5018339928628479,0.20477775107075719
RD_1105,0.001,0.60,0.6,17,triangular,0,1,"presion_sistolica(c=0.631, r=0.096)",1,0.05133720339918743,0.0058955059302815485,0.7932297579920459,0.2540596688682923,0.6706403293798873,0.15309906413369673
RD_1139,0.001,0.60,0.6,17,triangular,0,1,"presion_sistolica(c=0.651, r=0.212)",1,0.051318440423440546,0.0035259914925510542,0.6994560503381826,0.35605576564014085,0.512903245104122,0.20010963437372145
RD_0138,0.001,0.60,0.6,10,triangular,0,1,"presion_sistolica(c=0.680, r=0.245) Y glucosa=1 Y alcohol=0",3,0.051253755558887906,0.012079186220508908,0.7656990788928002,0.41101504652181087,0.6725233198870411,0.304844480738581
RD_1139,0.001,0.60,0.6,1,triangular,0,1,"presion_sistolica(c=0.643, r=0.207)",1,0.051132221076013736,0.003587694062311989,0.6939510097453215,0.3622865111665003,0.5039811310127553,0.20291323595096905
RD_1139,0.001,0.60,0.6,3,triangular,0,1,"presion_sistolica(c=0.637, r=0.204)",1,0.05112975045557645,0.003649567737178782,0.68934759149232,0.36853453494199895,0.49652029177447216,0.205952309714667
RD_0138,0.001,0.60,0.6,24,triangular,0,1,"presion_sistolica(c=0.680, r=0.235) Y glucosa=1 Y alcohol=0",3,0.051085668683651636,0.011838099196955163,0.7735827084162433,0.4028116466906613,0.6835420764987424,0.29894673899417584
RD_1139,0.001,0.60,0.6,30,triangular,0,1,"presion_sistolica(c=0.640, r=0.205)",1,0.051082311797826484,0.0036168460292065213,0.6915623315251391,0.36523028624777226,0.5001097590857857,0.20428440305266726
RD_1139,0.001,0.60,0.6,29,triangular,0,1,"presion_sistolica(c=0.653, r=0.211)",1,0.05105851716342103,0.0034759995451929967,0.7022461126219038,0.3510075625659081,0.5174251470951194,0.19735614880749053
RD_1037,0.001,0.60,0.6,34,gaussiana,0,1,"presion_sistolica(c=0.603, r=0.133)",1,0.05104868787638665,0.005615900743084215,0.7273979160125179,0.2976908773456917,0.575730778689107,0.1773352746317313
RD_1105,0.001,0.60,0.6,6,triangular,0,1,"presion_sistolica(c=0.625, r=0.102)",1,0.05102672896973768,0.006089976933774194,0.7804817925288103,0.262440160608289,0.650334381747992,0.15692459264597458
RD_1105,0.001,0.60,0.6,19,triangular,0,1,"presion_sistolica(c=0.625, r=0.102)",1,0.05097885661134026,0.00608683744458226,0.7803801168883966,0.26230486813399573,0.6501724249058876,0.15681642179370942
RD_1139,0.001,0.60,0.6,5,triangular,0,1,"presion_sistolica(c=0.623, r=0.193)",1,0.050828010500331214,0.0037560109909475156,0.6805020237444112,0.37928320926464565,0.48218412779557224,0.2108240714297438
RD_1037,0.001,0.60,0.6,31,gaussiana,0,1,"presion_sistolica(c=0.623, r=0.113)",1,0.05077646490052903,0.004496788299991775,0.799734739754368,0.23836832513660383,0.6883135125851083,0.14753877113301808
RD_1139,0.001,0.60,0.6,35,triangular,0,1,"presion_sistolica(c=0.628, r=0.194)",1,0.050480975250339136,0.0036741283442697868,0.6848741440284403,0.3710146730197138,0.4892700984323506,0.20635217812035958
RD_1037,0.001,0.60,0.6,14,gaussiana,0,1,"presion_sistolica(c=0.587, r=0.183)",1,0.05038332476639191,0.007898442099289105,0.6300237985370932,0.41868513454356493,0.42418079641152867,0.23755589688464526
RD_1139,0.001,0.60,0.6,19,triangular,0,1,"presion_sistolica(c=0.621, r=0.189)",1,0.05022412191905267,0.003717526960545608,0.6807333406642954,0.3753970793807202,0.4825590271111462,0.20815742364087914
RD_1105,0.001,0.60,0.6,16,triangular,0,1,"presion_sistolica(c=0.643, r=0.105)",1,0.05020211355070425,0.0059758326030782275,0.7820286078183937,0.25752124928791226,0.6527982690527605,0.15380590277468034
RD_1139,0.001,0.60,0.6,12,triangular,0,1,"presion_sistolica(c=0.616, r=0.184)",1,0.050162184307601505,0.0037407368740785024,0.6788582667598633,0.3777408239844309,0.4795200625435129,0.2092182923130548
RD_1105,0.001,0.60,0.6,9,triangular,0,1,"presion_sistolica(c=0.657, r=0.141)",1,0.050150879748160966,0.006466590819358329,0.756169537117585,0.27866987866713194,0.6116079366052465,0.16399682458839682
RD_1139,0.001,0.60,0.6,22,triangular,0,1,"presion_sistolica(c=0.620, r=0.187)",1,0.05008542919105186,0.0037125135526459886,0.6805162009054117,0.37489082382340067,0.48220710496455116,0.20773409879447474
RD_1139,0.001,0.60,0.6,13,triangular,0,1,"presion_sistolica(c=0.646, r=0.199)",1,0.049517514717880254,0.0033931780763787663,0.7020455298639837,0.3426442237568412,0.5171000591651148,0.191520050482411
RD_1139,0.001,0.60,0.6,14,triangular,0,1,"presion_sistolica(c=0.658, r=0.205)",1,0.04863052756635144,0.0032403275325903654,0.7106288690052336,0.32720932622176074,0.5310112247253536,0.18316195704338953
RD_0138,0.001,0.60,0.6,20,triangular,0,1,"presion_sistolica(c=0.667, r=0.207) Y alcohol=0 Y actividad_fisica=1",3,0.04806433067818794,0.010131203705845842,0.8219690644869272,0.34473159751524507,0.7511705056739795,0.2559436522873738
RD_1037,0.001,0.60,0.6,18,gaussiana,0,1,"presion_sistolica(c=0.650, r=0.152)",1,0.04798551943309825,0.0047509980612931045,0.7635789607410485,0.25184362150198636,0.632041807015263,0.1518428651411645
RD_1037,0.001,0.60,0.6,20,gaussiana,0,1,"presion_sistolica(c=0.616, r=0.107)",1,0.04795647356421471,0.004332439118557198,0.7947950268672145,0.22965640976442508,0.6806255004119208,0.1409188269766296
RD_1139,0.001,0.60,0.6,24,triangular,0,1,"presion_sistolica(c=0.597, r=0.166)",1,0.04779350866093172,0.003735411809692575,0.6695104159437841,0.37720309725394385,0.46436983974619334,0.20584243234682859
RD_1139,0.001,0.60,0.6,27,triangular,0,1,"presion_sistolica(c=0.636, r=0.184)",1,0.0476635546541339,0.0033169739899446514,0.6997800347181412,0.3349491103688689,0.5134283321680685,0.18566780081209638
RD_1037,0.001,0.60,0.6,19,gaussiana,0,1,"presion_sistolica(c=0.629, r=0.099)",1,0.047363774147762834,0.0040423013428384355,0.8156555843950996,0.21427662066982445,0.7130922092829848,0.132840531788693
RD_1105,0.001,0.60,0.6,2,triangular,0,1,"presion_sistolica(c=0.609, r=0.111)",1,0.046883958607603075,0.006298331446446763,0.7463087985447882,0.2714189453169797,0.5959009877867484,0.15735486118838643
RD_1037,0.001,0.60,0.6,24,gaussiana,0,1,"presion_sistolica(c=0.631, r=0.097)",1,0.04642652967791207,0.003950777854415767,0.8174036244428299,0.20942509126916073,0.7158128032675298,0.1297169580258555
RD_1139,0.001,0.60,0.6,34,triangular,0,1,"presion_sistolica(c=0.657, r=0.194)",1,0.04586605541911532,0.0030040801176277297,0.7181145277051028,0.30335298556049434,0.5431433606910492,0.16889115743128766
RD_1139,0.001,0.60,0.6,33,triangular,0,1,"presion_sistolica(c=0.613, r=0.188)",1,0.04580488049623071,0.003976732467506132,0.6462761655790695,0.4015717356253378,0.4267136900621771,0.21468671647050466
RD_1139,0.001,0.60,0.6,8,triangular,0,1,"presion_sistolica(c=0.620, r=0.157)",1,0.04539185496691794,0.003105881500693175,0.7066451460305313,0.31363292227252754,0.5245547362964063,0.17306813503355234
RD_1105,0.001,0.60,0.6,25,triangular,0,1,"presion_sistolica(c=0.655, r=0.109)",1,0.045337058750441486,0.005677433880728101,0.7695111916483385,0.24466211870819385,0.6328595582075817,0.1432768397426042
RD_0138,0.001,0.60,0.6,8,triangular,0,1,"presion_sistolica(c=0.655, r=0.212) Y fumador=0 Y actividad_fisica=1",3,0.045233663318979545,0.010339079768030607,0.7874397113436793,0.3518049373752247,0.702909671357305,0.257408114653675
RD_0138,0.001,0.60,0.6,12,triangular,0,1,"presion_sistolica(c=0.694, r=0.243) Y glucosa=1 Y actividad_fisica=1",3,0.044826559940123974,0.010100419253216414,0.7944888564645612,0.343684103669331,0.7127620894823055,0.2515653433402019
RD_1105,0.001,0.60,0.6,21,triangular,0,1,"presion_sistolica(c=0.602, r=0.115)",1,0.04482089253016583,0.007066949941305714,0.7020263065159923,0.30454162598241746,0.5253644016358219,0.17062782476546742
RD_1105,0.001,0.60,0.6,35,triangular,0,1,"presion_sistolica(c=0.598, r=0.118)",1,0.044480793861914364,0.0075030344574420925,0.6843193861927928,0.32333415864685444,0.4971594462771043,0.1789397514016937
RD_1139,0.001,0.60,0.6,16,triangular,0,1,"presion_sistolica(c=0.654, r=0.236)",1,0.04442281119261957,0.004127312855176203,0.632342337992007,0.4167773920585772,0.4041308957368415,0.2198436776857884
RD_0138,0.001,0.60,0.6,6,triangular,0,1,"altura_cm(c=0.734, r=0.191) Y presion_sistolica(c=0.643, r=0.174)",2,0.04429339735170086,0.007987525502435826,0.7804682560201637,0.27178926676399034,0.6931658383663277,0.19170043400909412
RD_0735,0.001,0.60,0.6,8,triangular,1,0,"presion_sistolica(c=0.375, r=0.116)",1,0.04425422501984924,0.015289901049888104,0.617295967424587,0.38708610252881276,0.4116250927752155,0.21502199839899483
RD_1180,0.001,0.60,0.6,3,triangular,0,1,"presion_sistolica(c=0.642, r=0.206)",1,0.044088541679340856,0.010749115898210378,0.7198331504649457,0.3027919971326867,0.537339147556791,0.1640994961182543
RD_1181,0.001,0.60,0.6,28,gaussiana,0,1,"presion_sistolica(c=0.647, r=0.217)",1,0.04408707890243452,0.00900938320206097,0.7698122773535432,0.2537854423115766,0.6198734855379612,0.14224540952634315
RD_1180,0.001,0.60,0.6,5,triangular,0,1,"presion_sistolica(c=0.642, r=0.204)",1,0.04403963618889242,0.010682995147367983,0.7212382820479836,0.3009294407709291,0.5396595483361196,0.16321266370501772
RD_0736,0.001,0.60,0.6,30,gaussiana,1,0,"presion_sistolica(c=0.420, r=0.101)",1,0.0439782297764041,0.015639228246599253,0.6108334605275101,0.3959298290278292,0.40168953795385903,0.21896626932541996
RD_1181,0.001,0.60,0.6,13,gaussiana,0,1,"presion_sistolica(c=0.646, r=0.215)",1,0.0439257561489281,0.008965653835157343,0.7703144768013218,0.2525536291593618,0.6207028057269534,0.1415355488766745
RD_1181,0.001,0.60,0.6,30,gaussiana,0,1,"presion_sistolica(c=0.646, r=0.214)",1,0.043844333587702906,0.008923094108622985,0.7712575689665895,0.25135476362318265,0.6222602056329,0.14091961269838524
RD_1181,0.001,0.60,0.6,24,gaussiana,0,1,"presion_sistolica(c=0.647, r=0.214)",1,0.04383153485596759,0.008903983764494545,0.7718255362474883,0.2508164440702689,0.6231981332527329,0.1406664510600903
RD_1181,0.001,0.60,0.6,10,gaussiana,0,1,"presion_sistolica(c=0.648, r=0.214)",1,0.04380908923024642,0.008862991224088831,0.7730807814688526,0.2496617246222206,0.6252710152696648,0.1401283224726244
RD_1180,0.001,0.60,0.6,30,triangular,0,1,"presion_sistolica(c=0.639, r=0.208)",1,0.04378579000118574,0.010928687849709661,0.713911623353691,0.3078503619636524,0.5275604789327006,0.16599344245713055
RD_0736,0.001,0.60,0.6,32,gaussiana,1,0,"presion_sistolica(c=0.413, r=0.104)",1,0.04376100317197351,0.015377686919141723,0.6138820988478678,0.38930852959852463,0.40637656013345663,0.21537168953643449
RD_1181,0.001,0.60,0.6,29,gaussiana,0,1,"presion_sistolica(c=0.650, r=0.215)",1,0.043737261617228074,0.008773220535645365,0.7757262349903162,0.2471329728350807,0.6296396541124488,0.13892791323278675
