posicion,regla_id_dominante,regla_dominante,soporte_busqueda,confianzas_familia,metodo_similitud,Z,numero_condiciones_Z,fitness,soporte_anomalo,confianza_anomala,confianza_inversa,cf_directo,cf_inverso,miembros_familia_jaccard,jaccard_maximo_familia
56,RD_1139,altura_cm cercana a 159.77 con radio ±5.83 Y sexo = mujer Y colesterol = normal Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.641, r=0.132)",1,0.039905728169236515,0.002134092999998568,0.7830974137936433,0.21550140397871453,0.6484622432475392,0.1230780314036054,2,0.8943014369841165
57,RD_1037,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.650, r=0.099)",1,0.039895768518330835,0.0035188683598656924,0.809246139328432,0.18653018584817688,0.7031167526478299,0.11348262822095899,2,0.9724649119706301
58,RD_1119,altura_cm cercana a 159.77 con radio ±5.83 Y sexo = mujer Y colesterol = normal Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.616, r=0.156)",1,0.03982939002169636,0.0019777653160363063,0.7412469540951957,0.24348781803273598,0.5842287200982308,0.13634862050259886,2,0.9746357852294057
59,RD_1180,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.690, r=0.210)",1,0.03921737051851546,0.007876544079312802,0.7792566496747095,0.22187448110740288,0.6354696967105294,0.1234279800327909,1,0.0
60,RD_1180,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.629, r=0.139)",1,0.03856958929893029,0.0077187537438919394,0.7808882209340177,0.2174296829265335,0.6381640345699374,0.12087672513516863,1,0.0
61,RD_1180,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.626, r=0.203)",1,0.03821295736177273,0.011489131481668018,0.6739415790499894,0.32363750652585965,0.4615549011834687,0.16558358394111397,1,0.0
62,RD_1181,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.670, r=0.185)",1,0.03809758010168429,0.006560637554258969,0.8288979545117849,0.18480669166926675,0.7174461634139567,0.10620331404491044,2,0.8900046318431696
63,RD_1119,altura_cm cercana a 159.77 con radio ±5.83 Y sexo = mujer Y colesterol = normal Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.610, r=0.192)",1,0.03674585701354657,0.002549579983245591,0.6580315904250856,0.31388540489958344,0.45051605928827176,0.16312784530521696,2,0.912298281444608
64,RD_1119,altura_cm cercana a 159.77 con radio ±5.83 Y sexo = mujer Y colesterol = normal Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.624, r=0.142)",1,0.03673976637794945,0.001685488883857202,0.7673059574395841,0.20750490835348837,0.6261010201346404,0.11736050636061483,1,0.0
65,RD_0820,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.143, r=0.138)",1,0.03609463389198795,0.005913450823299022,0.8553550038482032,0.15359612528049407,0.7709787560929885,0.09363327745864515,13,0.9951155254394214
66,RD_1181,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.680, r=0.176)",1,0.03534940272492737,0.005714324834957832,0.8525552266605186,0.16096689675937556,0.7565132183384711,0.09345349656299519,1,0.0
67,RD_1105,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.571, r=0.095)",1,0.034831998640930284,0.007177091554048206,0.6462594038803271,0.30928804503328267,0.43653455598095237,0.15958415279476815,1,0.0
68,RD_1181,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.598, r=0.150)",1,0.03437800519897757,0.00833945536835665,0.7307335778758702,0.23491423572835632,0.5553398533729966,0.12380888924205272,1,0.0
69,RD_1139,altura_cm cercana a 159.77 con radio ±5.83 Y sexo = mujer Y colesterol = normal Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.598, r=0.103)",1,0.03243628304719924,0.0022429396558836176,0.7166315532398914,0.22649277462733755,0.5407398784369205,0.11997000532293113,1,0.0
70,RD_0311,presion_sistolica cercana a 102.00 con radio ±14.32 Y colesterol = normal Y fumador = no Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"peso_kg(c=0.565, r=0.118) Y presion_diastolica(c=0.423, r=0.079)",2,0.032357778979756883,0.0014440669622427626,0.8253291173502839,0.14682134033005614,0.7929666911577025,0.12241792501718719,29,0.9996119930364638
71,RD_0820,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.146, r=0.233)",1,0.031944819606946416,0.007301486738660824,0.7483739069748214,0.18964900619898242,0.6015920193768006,0.10620094209374187,4,0.9640594765004379
