regla_id,posicion,regla,consecuente,metodo_similitud,variables_antecedente,numero_condiciones,fitness,soporte_XY,confianza,lift,factor_certeza,miembros_familia_jaccard,numero_semillas,numero_tamanos_enjambre,tamanos_enjambre,semillas,proporcion_semillas,nivel_estabilidad,es_reproducible,orden_estabilidad
RD_0330,330,presion_sistolica cercana a 143.67 con radio ±24.42 Y glucosa = muy_arriba_de_lo_normal Y fumador = no => enfermedad_cardiovascular = si,si,gaussiana,"fumador, glucosa, presion_sistolica",3,0.11263339503174492,0.01675823460253814,0.7856575213794339,1.5792110982501184,0.573447803740167,1,1,1,500,55,0.5,exploratoria,False,2
RD_0331,331,peso_kg cercana a 119.79 con radio ±27.59 => enfermedad_cardiovascular = si,si,gaussiana,peso_kg,1,0.11254257189305031,0.015187333449243825,0.667058316021228,1.3408207357210613,0.33742948461935923,1,1,1,500,13,0.5,exploratoria,False,2
RD_0332,332,presion_sistolica cercana a 137.93 con radio ±25.85 => enfermedad_cardiovascular = si,si,gaussiana,presion_sistolica,1,0.11168884777311981,0.1999460523192853,0.6660315051161331,1.3387567942032825,0.3353860798331007,2,1,2,"100, 500",55,0.5,exploratoria,False,2
RD_0333,333,peso_kg cercana a 85.21 con radio ±9.22 Y sexo = mujer Y colesterol = muy_arriba_de_lo_normal Y fumador = no => enfermedad_cardiovascular = si,si,gaussiana,"colesterol, fumador, peso_kg, sexo",4,0.1116000680196274,0.011688821213169599,0.8337899417127977,1.6759596818347693,0.6692337148513389,1,1,1,100,13,0.5,exploratoria,False,2
RD_0334,334,presion_diastolica cercana a 81.22 con radio ±17.83 Y colesterol = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,si,gaussiana,"colesterol, presion_diastolica",2,0.11142907432083843,0.05035157827503307,0.7281828858543852,1.4636841926721311,0.4590704196107168,1,1,1,500,13,0.5,exploratoria,False,2
RD_0336,336,presion_sistolica cercana a 158.00 con radio ±28.00 Y colesterol = normal Y glucosa = normal Y fumador = no => enfermedad_cardiovascular = si,si,triangular,"colesterol, fumador, glucosa, presion_sistolica",4,0.11118275250828856,0.06194642857142858,0.832893157262905,1.6741571000259396,0.6674490691799105,2,1,1,500,13,0.5,exploratoria,False,2
RD_0337,337,altura_cm cercana a 158.00 con radio ±5.74 Y presion_sistolica cercana a 158.00 con radio ±27.23 Y presion_diastolica cercana a 86.09 con radio ±7.58 Y fumador = no => enfermedad_cardiovascular = si,si,triangular,"altura_cm, fumador, presion_diastolica, presion_sistolica",4,0.11117882746803281,0.01798309294412075,0.8328847160659366,1.6741401327958525,0.6674322707779834,1,1,1,500,13,0.5,exploratoria,False,2
RD_0338,338,presion_sistolica cercana a 158.00 con radio ±28.00 Y presion_diastolica cercana a 87.13 con radio ±7.94 Y fumador = no Y alcohol = no => enfermedad_cardiovascular = si,si,triangular,"alcohol, fumador, presion_diastolica, presion_sistolica",4,0.11095997507525446,0.04842119992773383,0.8324138586348968,1.673193685698285,0.6664952410644713,1,1,1,500,13,0.5,exploratoria,False,2
RD_0339,339,presion_sistolica cercana a 144.36 con radio ±26.57 Y sexo = mujer Y colesterol = arriba_de_lo_normal Y glucosa = normal => enfermedad_cardiovascular = si,si,triangular,"colesterol, glucosa, presion_sistolica, sexo",4,0.11095468108220828,0.02259149994266346,0.8324024639878155,1.6731707818850563,0.6664725651498816,1,1,1,500,13,0.5,exploratoria,False,2
RD_0341,341,edad_anios cercana a 51.56 con radio ±2.89 Y presion_sistolica cercana a 158.00 con radio ±28.00 Y sexo = mujer Y fumador = no => enfermedad_cardiovascular = si,si,triangular,"edad_anios, fumador, presion_sistolica, sexo",4,0.11018309145126358,0.011475920297649498,0.8307393296026137,1.6698277981962084,0.6631628449803257,1,1,1,500,13,0.5,exploratoria,False,2
RD_0342,342,altura_cm cercana a 161.63 con radio ±6.12 Y presion_sistolica cercana a 158.00 con radio ±28.00 Y colesterol = normal Y alcohol = no => enfermedad_cardiovascular = si,si,triangular,"alcohol, altura_cm, colesterol, presion_sistolica",4,0.10986660950558294,0.024225317888056125,0.8300557877595724,1.6684538447428592,0.6618025627056169,2,1,1,500,13,0.5,exploratoria,False,2
RD_0343,343,presion_sistolica cercana a 158.00 con radio ±28.00 Y sexo = mujer Y colesterol = normal Y alcohol = no => enfermedad_cardiovascular = si,si,triangular,"alcohol, colesterol, presion_sistolica, sexo",4,0.10984887095032347,0.04246428571428573,0.8300174520069807,1.6683767879537301,0.661726272650708,1,1,1,500,13,0.5,exploratoria,False,2
RD_0346,346,altura_cm cercana a 160.06 con radio ±6.23 Y presion_sistolica cercana a 155.03 con radio ±25.36 Y presion_diastolica cercana a 86.45 con radio ±6.54 Y alcohol = no => enfermedad_cardiovascular = si,si,gaussiana,"alcohol, altura_cm, presion_diastolica, presion_sistolica",4,0.10950707606961273,0.010324476328857985,0.8292782862401297,1.666891027618351,0.6602552960002581,1,1,1,500,13,0.5,exploratoria,False,2
RD_0349,349,sexo = mujer Y colesterol = muy_arriba_de_lo_normal Y glucosa = normal => enfermedad_cardiovascular = si,si,triangular,"colesterol, glucosa, sexo",3,0.10921526622243811,0.03,0.7792207792207791,1.5662729230568424,0.5606383666085157,1,1,1,50,13,0.5,exploratoria,False,2
RD_0350,350,sexo = mujer Y colesterol = muy_arriba_de_lo_normal Y glucosa = normal => enfermedad_cardiovascular = si,si,gaussiana,"colesterol, glucosa, sexo",3,0.10921526622243811,0.03,0.7792207792207791,1.5662729230568424,0.5606383666085157,1,1,1,50,13,0.5,exploratoria,False,2
RD_0351,351,edad_anios cercana a 52.48 con radio ±2.87 Y presion_sistolica cercana a 152.60 con radio ±30.34 Y sexo = mujer Y alcohol = no => enfermedad_cardiovascular = si,si,gaussiana,"alcohol, edad_anios, presion_sistolica, sexo",4,0.1090314374951539,0.010578876028643268,0.8282481011242178,1.664820303767272,0.6582051763666026,1,1,1,500,13,0.5,exploratoria,False,2
RD_0352,352,presion_sistolica cercana a 154.52 con radio ±28.00 Y glucosa = normal Y actividad_fisica = no => enfermedad_cardiovascular = si,si,triangular,"actividad_fisica, glucosa, presion_sistolica",3,0.10888632919213571,0.022974712771270177,0.7785972272044016,1.5650195521696515,0.5593974670734361,1,1,1,500,13,0.5,exploratoria,False,2
RD_0354,354,sexo = mujer Y colesterol = muy_arriba_de_lo_normal Y actividad_fisica = no => enfermedad_cardiovascular = si,si,triangular,"actividad_fisica, colesterol, sexo",3,0.10845464037835516,0.0105,0.7777777777777778,1.5633724176437744,0.5577667219458265,1,1,1,50,13,0.5,exploratoria,False,2
RD_0355,355,sexo = mujer Y colesterol = muy_arriba_de_lo_normal Y actividad_fisica = no => enfermedad_cardiovascular = si,si,gaussiana,"actividad_fisica, colesterol, sexo",3,0.10845464037835516,0.0105,0.7777777777777778,1.5633724176437744,0.5577667219458265,1,1,1,50,13,0.5,exploratoria,False,2
RD_0358,358,peso_kg cercana a 84.48 con radio ±9.52 Y presion_sistolica cercana a 158.00 con radio ±28.00 Y sexo = mujer Y fumador = no => enfermedad_cardiovascular = si,si,triangular,"fumador, peso_kg, presion_sistolica, sexo",4,0.10815922035604351,0.020828141181003658,0.8263541928903904,1.6610134530460108,0.6544362047569958,1,1,1,500,13,0.5,exploratoria,False,2
RD_0363,363,presion_diastolica cercana a 97.01 con radio ±12.58 Y fumador = no Y alcohol = no Y actividad_fisica = si => enfermedad_cardiovascular = si,si,gaussiana,"actividad_fisica, alcohol, fumador, presion_diastolica",4,0.10778284430165451,0.055118005468961624,0.8255350195765376,1.6593668735206786,0.6528060091075376,1,1,1,100,55,0.5,exploratoria,False,2
RD_0365,365,presion_diastolica cercana a 77.60 con radio ±16.68 Y colesterol = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,si,triangular,"colesterol, presion_diastolica",2,0.10741831018798179,0.04547500560482272,0.7218352619860214,1.4509251497206461,0.44643833231049046,1,1,1,500,55,0.5,exploratoria,False,2
RD_0367,367,altura_cm cercana a 162.08 con radio ±5.54 Y presion_sistolica cercana a 148.01 con radio ±14.23 Y fumador = no Y alcohol = no => enfermedad_cardiovascular = si,si,triangular,"alcohol, altura_cm, fumador, presion_sistolica",4,0.1070949641965048,0.031112895348961337,0.8240348512204352,1.6563514597395683,0.6498205994436522,1,1,1,500,13,0.5,exploratoria,False,2
RD_0368,368,peso_kg cercana a 119.79 con radio ±27.59 => enfermedad_cardiovascular = si,si,triangular,peso_kg,1,0.10701153159385278,0.022359697932449983,0.6603604368839814,1.3273576620783545,0.3241003719084207,1,1,1,500,13,0.5,exploratoria,False,2
RD_0369,369,presion_sistolica cercana a 158.00 con radio ±22.27 Y presion_diastolica cercana a 84.06 con radio ±7.34 Y sexo = mujer Y colesterol = normal => enfermedad_cardiovascular = si,si,triangular,"colesterol, presion_diastolica, presion_sistolica, sexo",4,0.10695419584549581,0.01164271455761542,0.8237273730868095,1.6557334132398183,0.6492087026603176,1,1,1,500,13,0.5,exploratoria,False,2
RD_0370,370,presion_sistolica cercana a 151.27 con radio ±20.54 Y colesterol = normal Y glucosa = normal Y fumador = no => enfermedad_cardiovascular = si,si,gaussiana,"colesterol, fumador, glucosa, presion_sistolica",4,0.10695022420352754,0.05050680521612952,0.8237186955055579,1.655715970865443,0.6491914338419063,1,1,1,500,13,0.5,exploratoria,False,2
RD_0373,373,peso_kg cercana a 85.80 con radio ±8.81 Y presion_sistolica cercana a 158.00 con radio ±13.42 Y fumador = no Y alcohol = no => enfermedad_cardiovascular = si,si,triangular,"alcohol, fumador, peso_kg, presion_sistolica",4,0.10634555668044628,0.011860161928936,0.8223960351642128,1.6530573571139955,0.6465592739586324,1,1,1,500,55,0.5,exploratoria,False,2
RD_0374,374,presion_sistolica cercana a 140.58 con radio ±33.76 => enfermedad_cardiovascular = si,si,gaussiana,presion_sistolica,1,0.10610372225891673,0.2421208478307937,0.6592506740191925,1.3251269829531507,0.3218918885954079,1,1,1,500,55,0.5,exploratoria,False,2
RD_0375,375,presion_sistolica cercana a 158.00 con radio ±28.00 Y sexo = mujer Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = si,si,triangular,"actividad_fisica, alcohol, presion_sistolica, sexo",4,0.10578925441994187,0.01246428571428572,0.8211764705882354,1.650605971031629,0.6441322797775829,1,1,1,500,13,0.5,exploratoria,False,2
RD_0376,376,altura_cm cercana a 159.07 con radio ±6.40 Y presion_sistolica cercana a 143.37 con radio ±13.31 Y sexo = mujer Y alcohol = no => enfermedad_cardiovascular = si,si,triangular,"alcohol, altura_cm, presion_sistolica, sexo",4,0.10572557236155276,0.03370417589210793,0.8210366965589898,1.6503250182090248,0.6438541225054524,1,1,1,500,55,0.5,exploratoria,False,2
RD_0377,377,presion_sistolica cercana a 158.00 con radio ±23.48 Y presion_diastolica cercana a 83.22 con radio ±7.82 Y fumador = no Y alcohol = no => enfermedad_cardiovascular = si,si,triangular,"alcohol, fumador, presion_diastolica, presion_sistolica",4,0.10564943229921156,0.026969789137052405,0.8208695339715023,1.6499890130080448,0.6435214606398056,1,1,1,500,13,0.5,exploratoria,False,2
RD_0378,378,presion_sistolica cercana a 144.52 con radio ±14.81 Y presion_diastolica cercana a 86.77 con radio ±6.24 Y fumador = no Y alcohol = no => enfermedad_cardiovascular = si,si,triangular,"alcohol, fumador, presion_diastolica, presion_sistolica",4,0.10549656044630851,0.04016779971164082,0.8205337621175947,1.649314094708733,0.6428532579454621,1,1,1,500,13,0.5,exploratoria,False,2
RD_0379,379,altura_cm cercana a 161.49 con radio ±6.69 Y presion_diastolica cercana a 96.09 con radio ±11.43 Y sexo = mujer Y glucosa = normal => enfermedad_cardiovascular = si,si,gaussiana,"altura_cm, glucosa, presion_diastolica, sexo",4,0.10547057723904155,0.01674766452568146,0.8204766722946305,1.6491993412957398,0.6427396463574737,1,1,1,100,55,0.5,exploratoria,False,2
RD_0380,380,altura_cm cercana a 161.65 con radio ±6.71 Y presion_sistolica cercana a 147.23 con radio ±16.42 Y fumador = no Y alcohol = no => enfermedad_cardiovascular = si,si,gaussiana,"alcohol, altura_cm, fumador, presion_sistolica",4,0.10542853621985573,0.02876587836698121,0.820384288468062,1.6490136451619337,0.6425557979463921,1,1,1,500,13,0.5,exploratoria,False,2
RD_0381,381,presion_sistolica cercana a 147.86 con radio ±19.38 Y presion_diastolica cercana a 87.13 con radio ±7.94 Y fumador = no Y alcohol = no => enfermedad_cardiovascular = si,si,gaussiana,"alcohol, fumador, presion_diastolica, presion_sistolica",4,0.1053355898646228,0.04504015111042115,0.8201799887430347,1.648602992448311,0.6421492313294223,1,1,1,500,13,0.5,exploratoria,False,2
